Row_Number,tpep_pickup_seconds,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
127,14580.0,987102.0444086702,216102.34944252876,993210.16373672,215033.79094070633
128,14580.0,983554.9303586418,206553.41317724076,991618.4893792835,213390.8446733932
129,14580.0,988043.0575090904,209424.26804347537,992107.2350183467,212514.77880989775
130,14580.0,989290.3156440931,217458.02345350402,988312.1223481499,219399.00664697262
131,14580.0,1001851.1268746338,230369.68686709303,991873.8564119971,210133.0656952669
132,14580.0,987732.0092716276,214212.63846341032,991669.2331072902,215068.61119277883
133,14580.0,986939.9998208423,203427.22657495886,987982.140222944,203713.36421004296
134,14580.0,982435.9808856287,204797.03003075844,987408.5608101956,219444.4138553874
135,14580.0,981426.2012414535,201709.42190256633,982575.5606373575,207228.93142651525
136,14580.0,981846.8853949683,209100.92837967305,995340.0381719167,236325.27007268454
