vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,ratecodeid,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,total_amount,pickup_location,dropoff_location,store_and_fwd_flag,tpep_pickup_seconds,pickup_longitude2,pickup_latitude2,dropoff_longitude2,dropoff_latitude2
CMT,2013-05-08 04:00:12,2013-05-08 04:06:25,1,1.1,-74.01013,40.714161,1,-74.009343,40.704368,CSH,6.0,0.5,0.5,0.0,0,7.0,"{'type': 'Point', 'coordinates': [-74.01013, 40.714161]}","{'type': 'Point', 'coordinates': [-74.009343, 40.704368]}",N,14412.0,981441.7418539593,199464.77949457496,981659.5349658836,195896.8698371535
CMT,2013-05-08 04:00:17,2013-05-08 04:19:12,2,5.8,-73.996735,40.737372,1,-73.95774799999998,40.80211,CRD,19.5,0.5,0.5,4.1,0,24.6,"{'type': 'Point', 'coordinates': [-73.996735, 40.737372]}","{'type': 'Point', 'coordinates': [-73.957748, 40.80211]}",N,14417.0,985154.8144041877,207921.12042050753,995947.7249364437,231510.13308544792
CMT,2013-05-08 04:00:19,2013-05-08 04:02:47,1,1.1,-73.961056,40.77224,1,-73.97172399999998,40.761965,CSH,5.0,0.5,0.5,0.0,0,6.0,"{'type': 'Point', 'coordinates': [-73.961056, 40.77224]}","{'type': 'Point', 'coordinates': [-73.971724, 40.761965]}",N,14419.0,995036.7231596869,220627.0459982779,992083.1051884306,216882.3895996479
CMT,2013-05-08 04:00:23,2013-05-08 04:04:20,1,1.0,-73.986697,40.74818,1,-73.994541,40.754379,CSH,5.5,0.5,0.5,0.0,0,6.5,"{'type': 'Point', 'coordinates': [-73.986697, 40.74818]}","{'type': 'Point', 'coordinates': [-73.994541, 40.754379]}",N,14423.0,987936.0010729578,211859.0819769896,985762.4413705145,214117.34503034412
CMT,2013-05-08 04:00:28,2013-05-08 04:13:24,2,2.2,-74.00999,40.729857,1,-74.00776999999998,40.704328,CRD,10.5,0.5,0.5,2.3,0,13.8,"{'type': 'Point', 'coordinates': [-74.00999, 40.729857]}","{'type': 'Point', 'coordinates': [-74.00777, 40.704328]}",Y,14428.0,981481.2050926755,205183.31117195718,982095.6678364394,195882.25403787591
CMT,2013-05-08 04:00:46,2013-05-08 04:16:26,1,4.0,-73.975526,40.7547,1,-74.01169199999998,40.712259,CRD,15.0,0.5,0.5,3.2,0,19.2,"{'type': 'Point', 'coordinates': [-73.975526, 40.7547]}","{'type': 'Point', 'coordinates': [-74.011692, 40.712259]}",N,14446.0,991030.6029072567,214235.19584505167,981008.6287104232,198771.87708051148
CMT,2013-05-08 04:00:56,2013-05-08 04:07:00,1,1.5,-73.988462,40.764291,1,-73.979849,40.751351,CSH,7.0,0.5,0.5,0.0,0,8.0,"{'type': 'Point', 'coordinates': [-73.988462, 40.764291]}","{'type': 'Point', 'coordinates': [-73.979849, 40.751351]}",N,14456.0,987446.1809576901,217728.77419821097,989833.1821214438,213014.741684303
VTS,2013-05-08 04:01:00,2013-05-08 04:06:00,5,1.43,-73.983902,40.731797,1,-73.979588,40.717307,CSH,6.5,0.5,0.5,0.0,0,7.5,"{'type': 'Point', 'coordinates': [-73.983902, 40.731797]}","{'type': 'Point', 'coordinates': [-73.979588, 40.717307]}",,14460.0,988711.5378028948,205890.36583510475,989908.3869018195,200611.4600950584
VTS,2013-05-08 04:01:00,2013-05-08 04:06:00,2,1.09,-74.003282,40.751667,1,-73.99442999999998,40.750827,CSH,5.5,0.5,0.5,0.0,0,6.5,"{'type': 'Point', 'coordinates': [-74.003282, 40.751667]}","{'type': 'Point', 'coordinates': [-73.99443, 40.750827]}",,14460.0,983340.6695966483,213129.24554212773,985793.2767251758,212823.2384579081
VTS,2013-05-08 04:01:00,2013-05-08 04:06:00,1,0.7199999999999999,-73.99714199999998,40.729747,1,-74.005032,40.733255,CRD,5.5,0.5,0.5,1.8,0,8.3,"{'type': 'Point', 'coordinates': [-73.997142, 40.729747]}","{'type': 'Point', 'coordinates': [-74.005032, 40.733255]}",,14460.0,985042.1150073506,205143.089780838,982855.4188645803,206421.19099753565
VTS,2013-05-08 04:01:00,2013-05-08 04:27:00,6,9.11,-74.00583299999998,40.725817,1,-73.94003999999998,40.811447,CRD,29.5,0.5,0.5,2.0,0,32.5,"{'type': 'Point', 'coordinates': [-74.005833, 40.725817]}","{'type': 'Point', 'coordinates': [-73.94004, 40.811447]}",,14460.0,982633.2472615408,203711.30954119473,1000847.964001804,234914.79181756807
VTS,2013-05-08 04:01:00,2013-05-08 04:05:00,1,0.82,-73.995417,40.754632,1,-73.993397,40.762185,CSH,5.0,0.5,0.5,0.0,0,6.0,"{'type': 'Point', 'coordinates': [-73.995417, 40.754632]}","{'type': 'Point', 'coordinates': [-73.993397, 40.762185]}",,14460.0,985519.7366689872,214209.50722902748,986079.177520451,216961.3475224386
VTS,2013-05-08 04:01:00,2013-05-08 04:24:00,4,5.98,-73.98128199999998,40.779322,1,-73.983277,40.727522,CRD,19.0,0.5,0.5,10.0,0,30.0,"{'type': 'Point', 'coordinates': [-73.981282, 40.779322]}","{'type': 'Point', 'coordinates': [-73.983277, 40.727522]}",,14460.0,989433.9671733772,223205.41262814822,988885.0530038624,204332.88254419583
VTS,2013-05-08 04:01:00,2013-05-08 04:04:00,5,0.7099999999999999,-73.98957,40.725812,1,-73.983705,40.720527,CSH,4.5,0.5,0.5,0.0,0,5.5,"{'type': 'Point', 'coordinates': [-73.98957, 40.725812]}","{'type': 'Point', 'coordinates': [-73.983705, 40.720527]}",,14460.0,987140.9193039533,203709.60616496587,988766.8998797626,201784.36562570426
VTS,2013-05-08 04:01:00,2013-05-08 04:07:00,5,1.27,-73.986937,40.729652,1,-73.99787499999998,40.716617,CSH,6.5,0.5,0.5,0.0,0,7.5,"{'type': 'Point', 'coordinates': [-73.986937, 40.729652]}","{'type': 'Point', 'coordinates': [-73.997875, 40.716617]}",,14460.0,987870.508417038,205108.73535254874,984839.0748948602,200359.41990040863
VTS,2013-05-08 04:01:00,2013-05-08 04:13:00,1,3.03,-73.990222,40.760817,1,-73.98852499999998,40.729137,CSH,12.0,0.5,0.5,0.0,0,13.0,"{'type': 'Point', 'coordinates': [-73.990222, 40.760817]}","{'type': 'Point', 'coordinates': [-73.988525, 40.729137]}",,14460.0,986958.7786050655,216463.0224626085,987430.4068894925,204921.0431615511
VTS,2013-05-08 04:01:00,2013-05-08 04:11:00,1,4.17,-73.973507,40.755017,1,-73.96940999999998,40.797907,CSH,13.5,0.5,0.5,0.0,0,14.5,"{'type': 'Point', 'coordinates': [-73.973507, 40.755017]}","{'type': 'Point', 'coordinates': [-73.96941, 40.797907]}",,14460.0,991589.9386101547,214350.85196299996,992719.5637269145,229977.49089027135
VTS,2013-05-08 04:01:00,2013-05-08 04:03:00,1,0.45,-73.977213,40.742987,1,-73.98149999999998,40.739707,CSH,3.5,0.5,0.5,0.0,0,4.5,"{'type': 'Point', 'coordinates': [-73.977213, 40.742987]}","{'type': 'Point', 'coordinates': [-73.9815, 40.739707]}",,14460.0,990564.3240713571,209967.64737563505,989376.6400454913,208772.3592547144
VTS,2013-05-08 04:01:00,2013-05-08 04:14:00,2,3.62,-73.98784,40.748485,1,-74.00598499999998,40.706897,CRD,13.5,0.5,0.5,4.2,0,18.7,"{'type': 'Point', 'coordinates': [-73.98784, 40.748485]}","{'type': 'Point', 'coordinates': [-74.005985, 40.706897]}",,14460.0,987619.2827083715,211970.15724479803,982590.6459301007,196818.17895712965
VTS,2013-05-08 04:01:00,2013-05-08 04:12:00,2,2.65,-74.006647,40.74442,1,-73.997223,40.713317,CSH,10.5,0.5,0.5,0.0,0,11.5,"{'type': 'Point', 'coordinates': [-74.006647, 40.74442]}","{'type': 'Point', 'coordinates': [-73.997223, 40.713317]}",,14460.0,982408.1423711396,210488.98356742918,985019.8550480407,199157.134469221
VTS,2013-05-08 04:01:00,2013-05-08 04:07:00,1,2.0,-73.986317,40.737912,1,-73.96956199999998,40.757787,CSH,8.0,0.5,0.5,0.0,0,9.0,"{'type': 'Point', 'coordinates': [-73.986317, 40.737912]}","{'type': 'Point', 'coordinates': [-73.969562, 40.757787]}",,14460.0,988041.8759899557,208118.1387618707,992682.5580312508,215360.40824024245
VTS,2013-05-08 04:01:00,2013-05-08 04:08:00,1,0.23,-74.00331,40.742087,1,-74.010577,40.713877,CRD,8.5,0.5,0.5,2.25,0,11.75,"{'type': 'Point', 'coordinates': [-74.00331, 40.742087]}","{'type': 'Point', 'coordinates': [-74.010577, 40.713877]}",,14460.0,983332.7798638828,209638.94477561276,981317.8111585061,199361.32430665012
VTS,2013-05-08 04:01:00,2013-05-08 04:05:00,1,1.33,-73.96772,40.756232,1,-73.95726999999998,40.766172,CSH,6.0,0.5,0.5,0.0,0,7.0,"{'type': 'Point', 'coordinates': [-73.96772, 40.756232]}","{'type': 'Point', 'coordinates': [-73.95727, 40.766172]}",,14460.0,993193.0753386366,214794.05379676007,996086.4491424436,218416.7610356573
VTS,2013-05-08 04:01:00,2013-05-08 04:06:00,1,1.61,-74.00566499999998,40.726082,1,-74.005925,40.74119,CSH,7.0,0.5,0.5,0.0,0,8.0,"{'type': 'Point', 'coordinates': [-74.005665, 40.726082]}","{'type': 'Point', 'coordinates': [-74.005925, 40.74119]}",,14460.0,982679.8186450452,203807.85419710827,982608.1261417847,209312.17736588555
VTS,2013-05-08 04:01:00,2013-05-08 04:06:00,6,1.83,-74.00926,40.71686,1,-73.999915,40.738657,CRD,7.5,0.5,0.5,0.0,0,8.5,"{'type': 'Point', 'coordinates': [-74.00926, 40.71686]}","{'type': 'Point', 'coordinates': [-73.999915, 40.738657]}",,14460.0,981683.0288803874,200448.08075448888,984273.555204024,208389.26967027958
VTS,2013-05-08 04:01:00,2013-05-08 04:07:00,5,2.16,-74.00640799999998,40.733412,1,-73.988985,40.758997,CSH,8.0,0.5,0.5,0.0,0,9.0,"{'type': 'Point', 'coordinates': [-74.006408, 40.733412]}","{'type': 'Point', 'coordinates': [-73.988985, 40.758997]}",,14460.0,982474.0749489218,206478.41592230307,987301.5454705666,215799.97755631973
