vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,ratecodeid,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,total_amount,pickup_location,dropoff_location,store_and_fwd_flag
CMT,2013-05-08T04:00:17.000,2013-05-08T04:19:12.000,2,5.7999999999999998,-73.996735000000001,40.737372000000001,1,-73.957747999999995,40.802109999999999,CRD,19.5,0.5,0.5,4.0999999999999996,0,24.600000000000001,"{'type': 'Point', 'coordinates': [-73.996735, 40.737372]}","{'type': 'Point', 'coordinates': [-73.957748, 40.80211]}",N
CMT,2013-05-08T04:00:19.000,2013-05-08T04:02:47.000,1,1.1000000000000001,-73.961055999999999,40.772239999999996,1,-73.971723999999995,40.761964999999996,CSH,5,0.5,0.5,0,0,6,"{'type': 'Point', 'coordinates': [-73.961056, 40.77224]}","{'type': 'Point', 'coordinates': [-73.971724, 40.761965]}",N
CMT,2013-05-08T04:00:23.000,2013-05-08T04:04:20.000,1,1,-73.986697000000007,40.748179999999998,1,-73.994540999999998,40.754379,CSH,5.5,0.5,0.5,0,0,6.5,"{'type': 'Point', 'coordinates': [-73.986697, 40.74818]}","{'type': 'Point', 'coordinates': [-73.994541, 40.754379]}",N
CMT,2013-05-08T04:00:28.000,2013-05-08T04:13:24.000,2,2.2000000000000002,-74.009990000000002,40.729857000000003,1,-74.007769999999994,40.704327999999997,CRD,10.5,0.5,0.5,2.2999999999999998,0,13.800000000000001,"{'type': 'Point', 'coordinates': [-74.00999, 40.729857]}","{'type': 'Point', 'coordinates': [-74.00777, 40.704328]}",Y
CMT,2013-05-08T04:00:46.000,2013-05-08T04:16:26.000,1,4,-73.975526000000002,40.7547,1,-74.011691999999996,40.712259000000003,CRD,15,0.5,0.5,3.2000000000000002,0,19.199999999999999,"{'type': 'Point', 'coordinates': [-73.975526, 40.7547]}","{'type': 'Point', 'coordinates': [-74.011692, 40.712259]}",N
CMT,2013-05-08T04:00:56.000,2013-05-08T04:07:00.000,1,1.5,-73.988461999999998,40.764291,1,-73.979849000000002,40.751351,CSH,7,0.5,0.5,0,0,8,"{'type': 'Point', 'coordinates': [-73.988462, 40.764291]}","{'type': 'Point', 'coordinates': [-73.979849, 40.751351]}",N
VTS,2013-05-08T04:01:00.000,2013-05-08T04:06:00.000,5,1.4299999999999999,-73.983902,40.731797,1,-73.979588000000007,40.717306999999998,CSH,6.5,0.5,0.5,0,0,7.5,"{'type': 'Point', 'coordinates': [-73.983902, 40.731797]}","{'type': 'Point', 'coordinates': [-73.979588, 40.717307]}",
VTS,2013-05-08T04:01:00.000,2013-05-08T04:11:00.000,1,1.97,-73.988986999999995,40.730846999999997,1,-73.995099999999994,40.750036999999999,CRD,9.5,0.5,0.5,2,0,12.5,"{'type': 'Point', 'coordinates': [-73.988987, 40.730847]}","{'type': 'Point', 'coordinates': [-73.9951, 40.750037]}",
VTS,2013-05-08T04:01:00.000,2013-05-08T04:07:00.000,5,2.1600000000000001,-74.006407999999993,40.733412000000001,1,-73.988985,40.758997000000001,CSH,8,0.5,0.5,0,0,9,"{'type': 'Point', 'coordinates': [-74.006408, 40.733412]}","{'type': 'Point', 'coordinates': [-73.988985, 40.758997]}",
VTS,2013-05-08T04:01:00.000,2013-05-08T04:06:00.000,6,1.8300000000000001,-74.009259999999998,40.716859999999997,1,-73.999915000000001,40.738657000000003,CRD,7.5,0.5,0.5,0,0,8.5,"{'type': 'Point', 'coordinates': [-74.00926, 40.71686]}","{'type': 'Point', 'coordinates': [-73.999915, 40.738657]}",
